DefinitenessEffect
	definiteness_every
Model: imone/pangu_2_6B, Accuracy: 87.70000, Average Perplexity (Good Sentences): -1615.61377, Average Perplexity (Bad Sentences): -2366.10425
0: good sentence 0, PPL: -2019.96802
1: bad sentence 0, PPL: -2935.26465
2: good sentence 1, PPL: -1223.15112
3: bad sentence 1, PPL: -1589.76465
4: good sentence 2, PPL: -2344.73071
5: bad sentence 2, PPL: -4139.52295
6: good sentence 3, PPL: -1012.38477
7: bad sentence 3, PPL: -1891.03101
8: good sentence 4, PPL: -2677.86621
9: bad sentence 4, PPL: -3514.81958
10: good sentence 5, PPL: -772.62634
11: bad sentence 5, PPL: -1221.10974
12: good sentence 6, PPL: -828.97778
13: bad sentence 6, PPL: -1773.50964
14: good sentence 7, PPL: -2195.84180
15: bad sentence 7, PPL: -3757.81226
16: good sentence 8, PPL: -1671.61890
17: bad sentence 8, PPL: -2095.40649
18: good sentence 9, PPL: -406.22958
19: bad sentence 9, PPL: -1991.25122
20: good sentence 10, PPL: -4824.83203
21: bad sentence 10, PPL: -5336.80371
22: good sentence 11, PPL: -3050.79956
23: bad sentence 11, PPL: -4132.96289
24: good sentence 12, PPL: -1063.82373
25: bad sentence 12, PPL: -2311.89844
26: good sentence 13, PPL: -1373.94116
27: bad sentence 13, PPL: -2468.04834
28: good sentence 14, PPL: -1048.20642
29: bad sentence 14, PPL: -2090.81567
30: good sentence 15, PPL: -2498.64526
31: bad sentence 15, PPL: -2658.25610
32: good sentence 16, PPL: -1137.62756
33: bad sentence 16, PPL: -1646.68738
34: good sentence 17, PPL: -585.22974
35: bad sentence 17, PPL: -1151.53162
36: good sentence 18, PPL: -1573.79578
37: bad sentence 18, PPL: -1904.21924
38: good sentence 19, PPL: -1145.33862
39: bad sentence 19, PPL: -1690.01257
40: good sentence 20, PPL: -1840.98206
41: bad sentence 20, PPL: -3323.10229
42: good sentence 21, PPL: -3590.28394
43: bad sentence 21, PPL: -7137.59229
44: good sentence 22, PPL: -4233.94385
45: bad sentence 22, PPL: -2299.67456
46: good sentence 23, PPL: -3825.26123
47: bad sentence 23, PPL: -4124.39111
48: good sentence 24, PPL: -941.77051
49: bad sentence 24, PPL: -1628.16028
