PolarityItem
	any
Model: imone/pangu_2_6B, Accuracy: 93.60000, Average Perplexity (Good Sentences): -8388.59180, Average Perplexity (Bad Sentences): -16059.64453
0: good sentence 0, PPL: -13214.03320
1: bad sentence 0, PPL: -33591.85938
2: good sentence 1, PPL: -3977.44897
3: bad sentence 1, PPL: -5139.54932
4: good sentence 2, PPL: -15368.91699
5: bad sentence 2, PPL: -60227.83203
6: good sentence 3, PPL: -4007.87988
7: bad sentence 3, PPL: -6900.28662
8: good sentence 4, PPL: -12998.68945
9: bad sentence 4, PPL: -28088.87305
10: good sentence 5, PPL: -11654.36133
11: bad sentence 5, PPL: -15544.34277
12: good sentence 6, PPL: -3141.23120
13: bad sentence 6, PPL: -4409.76514
14: good sentence 7, PPL: -9611.31445
15: bad sentence 7, PPL: -27534.97266
16: good sentence 8, PPL: -5354.11084
17: bad sentence 8, PPL: -11768.41699
18: good sentence 9, PPL: -9646.80664
19: bad sentence 9, PPL: -31325.60156
20: good sentence 10, PPL: -17011.12695
21: bad sentence 10, PPL: -50393.65234
22: good sentence 11, PPL: -48646.05469
23: bad sentence 11, PPL: -68915.24219
24: good sentence 12, PPL: -19099.38477
25: bad sentence 12, PPL: -41112.21875
26: good sentence 13, PPL: -1247.41541
27: bad sentence 13, PPL: -1837.54675
28: good sentence 14, PPL: -11935.40234
29: bad sentence 14, PPL: -29231.80078
30: good sentence 15, PPL: -6702.82031
31: bad sentence 15, PPL: -8969.33008
32: good sentence 16, PPL: -1813.66113
33: bad sentence 16, PPL: -3219.40845
34: good sentence 17, PPL: -32623.27539
35: bad sentence 17, PPL: -66157.75000
36: good sentence 18, PPL: -5621.76172
37: bad sentence 18, PPL: -13603.30859
38: good sentence 19, PPL: -18365.87695
39: bad sentence 19, PPL: -49569.47656
40: good sentence 20, PPL: -3812.12891
41: bad sentence 20, PPL: -6110.44775
42: good sentence 21, PPL: -9777.41992
43: bad sentence 21, PPL: -47477.31250
44: good sentence 22, PPL: -8813.69922
45: bad sentence 22, PPL: -6848.99854
46: good sentence 23, PPL: -11458.41113
47: bad sentence 23, PPL: -30520.32227
48: good sentence 24, PPL: -6132.21631
49: bad sentence 24, PPL: -22375.48828
50: good sentence 25, PPL: -14393.67285
51: bad sentence 25, PPL: -17307.47852
52: good sentence 26, PPL: -10705.80664
53: bad sentence 26, PPL: -35585.97266
54: good sentence 27, PPL: -5499.78857
55: bad sentence 27, PPL: -17507.85352
56: good sentence 28, PPL: -1643.41785
57: bad sentence 28, PPL: -2559.75000
58: good sentence 29, PPL: -26214.68750
59: bad sentence 29, PPL: -27654.34375
60: good sentence 30, PPL: -9190.53809
61: bad sentence 30, PPL: -12666.89062
62: good sentence 31, PPL: -9709.59668
63: bad sentence 31, PPL: -10505.81836
64: good sentence 32, PPL: -4145.98975
65: bad sentence 32, PPL: -7472.30469
66: good sentence 33, PPL: -2727.52002
67: bad sentence 33, PPL: -4350.81543
68: good sentence 34, PPL: -13497.84473
69: bad sentence 34, PPL: -33643.86328
70: good sentence 35, PPL: -10308.70117
71: bad sentence 35, PPL: -20955.73633
72: good sentence 36, PPL: -5724.85596
73: bad sentence 36, PPL: -14920.79004
74: good sentence 37, PPL: -16394.45703
75: bad sentence 37, PPL: -28557.28711
76: good sentence 38, PPL: -3283.06250
77: bad sentence 38, PPL: -6610.13281
78: good sentence 39, PPL: -6364.13379
79: bad sentence 39, PPL: -8863.83789
80: good sentence 40, PPL: -2548.11597
81: bad sentence 40, PPL: -3569.01904
82: good sentence 41, PPL: -4643.60742
83: bad sentence 41, PPL: -11274.80664
84: good sentence 42, PPL: -8925.74414
85: bad sentence 42, PPL: -10233.53320
86: good sentence 43, PPL: -16341.40039
87: bad sentence 43, PPL: -27360.09180
88: good sentence 44, PPL: -8935.40234
89: bad sentence 44, PPL: -26524.10352
90: good sentence 45, PPL: -8257.59375
91: bad sentence 45, PPL: -27632.03906
92: good sentence 46, PPL: -33568.99609
93: bad sentence 46, PPL: -36519.57812
94: good sentence 47, PPL: -5946.02051
95: bad sentence 47, PPL: -10899.06641
96: good sentence 48, PPL: -23655.41211
97: bad sentence 48, PPL: -62483.56250
98: good sentence 49, PPL: -4284.18701
99: bad sentence 49, PPL: -11839.82227
100: good sentence 50, PPL: -18066.90234
101: bad sentence 50, PPL: -49591.13281
102: good sentence 51, PPL: -7735.74902
103: bad sentence 51, PPL: -21622.26172
104: good sentence 52, PPL: -13264.03027
105: bad sentence 52, PPL: -25634.61914
106: good sentence 53, PPL: -18807.16797
107: bad sentence 53, PPL: -21446.03711
108: good sentence 54, PPL: -7439.03564
109: bad sentence 54, PPL: -12135.57324
110: good sentence 55, PPL: -3940.13696
111: bad sentence 55, PPL: -5608.96777
112: good sentence 56, PPL: -24903.52344
113: bad sentence 56, PPL: -67015.71094
114: good sentence 57, PPL: -8218.32715
115: bad sentence 57, PPL: -13514.17773
116: good sentence 58, PPL: -4085.01489
117: bad sentence 58, PPL: -3917.14771
118: good sentence 59, PPL: -2544.21997
119: bad sentence 59, PPL: -4963.29346
120: good sentence 60, PPL: -12193.84570
121: bad sentence 60, PPL: -40990.38281
122: good sentence 61, PPL: -13046.74023
123: bad sentence 61, PPL: -35484.44141
124: good sentence 62, PPL: -8961.97656
125: bad sentence 62, PPL: -26339.83594
126: good sentence 63, PPL: -17155.65234
127: bad sentence 63, PPL: -69624.40625
128: good sentence 64, PPL: -23195.75195
129: bad sentence 64, PPL: -72733.48438
130: good sentence 65, PPL: -7958.75635
131: bad sentence 65, PPL: -7632.99170
132: good sentence 66, PPL: -3079.12891
133: bad sentence 66, PPL: -9701.45215
134: good sentence 67, PPL: -1935.43542
135: bad sentence 67, PPL: -6351.82471
136: good sentence 68, PPL: -6194.98193
137: bad sentence 68, PPL: -3114.98804
138: good sentence 69, PPL: -15010.30566
139: bad sentence 69, PPL: -28064.48047
140: good sentence 70, PPL: -5392.60059
141: bad sentence 70, PPL: -11388.26465
142: good sentence 71, PPL: -13257.50586
143: bad sentence 71, PPL: -22636.41406
144: good sentence 72, PPL: -6887.47949
145: bad sentence 72, PPL: -14262.83496
146: good sentence 73, PPL: -2601.32129
147: bad sentence 73, PPL: -1638.22498
148: good sentence 74, PPL: -47238.12891
149: bad sentence 74, PPL: -33660.16406
150: good sentence 75, PPL: -6530.32568
151: bad sentence 75, PPL: -23899.28906
152: good sentence 76, PPL: -7804.66357
153: bad sentence 76, PPL: -25331.40039
154: good sentence 77, PPL: -2545.11792
155: bad sentence 77, PPL: -3440.56079
156: good sentence 78, PPL: -12103.28027
157: bad sentence 78, PPL: -22617.29688
158: good sentence 79, PPL: -7407.46094
159: bad sentence 79, PPL: -16095.40039
160: good sentence 80, PPL: -11767.20508
161: bad sentence 80, PPL: -15834.89746
162: good sentence 81, PPL: -20224.51758
163: bad sentence 81, PPL: -34559.88672
164: good sentence 82, PPL: -5144.53662
165: bad sentence 82, PPL: -12175.21875
166: good sentence 83, PPL: -3622.35474
167: bad sentence 83, PPL: -3667.55713
168: good sentence 84, PPL: -7118.16504
169: bad sentence 84, PPL: -10574.54395
170: good sentence 85, PPL: -7261.42432
171: bad sentence 85, PPL: -10246.57031
172: good sentence 86, PPL: -9467.37793
173: bad sentence 86, PPL: -13107.15039
174: good sentence 87, PPL: -6938.10400
175: bad sentence 87, PPL: -9457.44238
176: good sentence 88, PPL: -13232.75977
177: bad sentence 88, PPL: -21016.83789
178: good sentence 89, PPL: -14662.13184
179: bad sentence 89, PPL: -27894.42578
180: good sentence 90, PPL: -19214.00586
181: bad sentence 90, PPL: -23548.13867
182: good sentence 91, PPL: -10192.76172
183: bad sentence 91, PPL: -26729.07422
184: good sentence 92, PPL: -10342.36914
185: bad sentence 92, PPL: -37882.83984
186: good sentence 93, PPL: -25610.37891
187: bad sentence 93, PPL: -73509.47656
188: good sentence 94, PPL: -5122.45703
189: bad sentence 94, PPL: -11867.29102
190: good sentence 95, PPL: -4993.36523
191: bad sentence 95, PPL: -10668.35059
192: good sentence 96, PPL: -3725.56152
193: bad sentence 96, PPL: -12192.29883
194: good sentence 97, PPL: -3661.55322
195: bad sentence 97, PPL: -7670.82129
196: good sentence 98, PPL: -13029.79297
197: bad sentence 98, PPL: -48556.17969
198: good sentence 99, PPL: -26019.11719
199: bad sentence 99, PPL: -39053.02734
200: good sentence 100, PPL: -6908.59668
201: bad sentence 100, PPL: -27015.86914
202: good sentence 101, PPL: -3662.79321
203: bad sentence 101, PPL: -4548.70947
204: good sentence 102, PPL: -11180.81641
205: bad sentence 102, PPL: -25537.23828
206: good sentence 103, PPL: -12312.34668
207: bad sentence 103, PPL: -8017.96582
208: good sentence 104, PPL: -4490.21387
209: bad sentence 104, PPL: -6336.15527
210: good sentence 105, PPL: -8179.91162
211: bad sentence 105, PPL: -46697.13672
212: good sentence 106, PPL: -959.57623
213: bad sentence 106, PPL: -1261.32178
214: good sentence 107, PPL: -33664.56250
215: bad sentence 107, PPL: -10391.71387
216: good sentence 108, PPL: -2553.61279
217: bad sentence 108, PPL: -2821.54321
218: good sentence 109, PPL: -6349.77734
219: bad sentence 109, PPL: -12097.09473
220: good sentence 110, PPL: -11739.42871
221: bad sentence 110, PPL: -47156.61328
222: good sentence 111, PPL: -6395.75391
223: bad sentence 111, PPL: -10271.82227
224: good sentence 112, PPL: -12792.06250
225: bad sentence 112, PPL: -38580.23438
226: good sentence 113, PPL: -4717.90332
227: bad sentence 113, PPL: -9953.51270
228: good sentence 114, PPL: -17334.00781
229: bad sentence 114, PPL: -38466.23438
230: good sentence 115, PPL: -23172.51367
231: bad sentence 115, PPL: -66540.11719
232: good sentence 116, PPL: -42021.07422
233: bad sentence 116, PPL: -96948.16406
234: good sentence 117, PPL: -2183.62012
235: bad sentence 117, PPL: -1122.51270
236: good sentence 118, PPL: -13078.68066
237: bad sentence 118, PPL: -57308.94922
238: good sentence 119, PPL: -11920.43262
239: bad sentence 119, PPL: -14929.72852
240: good sentence 120, PPL: -8129.01270
241: bad sentence 120, PPL: -13921.14844
242: good sentence 121, PPL: -14436.17773
243: bad sentence 121, PPL: -40369.78516
244: good sentence 122, PPL: -20014.15234
245: bad sentence 122, PPL: -29900.47656
246: good sentence 123, PPL: -10843.97266
247: bad sentence 123, PPL: -22664.82031
248: good sentence 124, PPL: -11392.67480
249: bad sentence 124, PPL: -10856.52344
250: good sentence 125, PPL: -3670.38086
251: bad sentence 125, PPL: -4569.07812
252: good sentence 126, PPL: -6247.69189
253: bad sentence 126, PPL: -13235.71387
254: good sentence 127, PPL: -8025.63867
255: bad sentence 127, PPL: -8044.51953
256: good sentence 128, PPL: -13609.88770
257: bad sentence 128, PPL: -19962.32031
258: good sentence 129, PPL: -23036.16797
259: bad sentence 129, PPL: -38025.59766
260: good sentence 130, PPL: -4472.38379
261: bad sentence 130, PPL: -15343.28906
262: good sentence 131, PPL: -10105.47656
263: bad sentence 131, PPL: -30675.12305
264: good sentence 132, PPL: -7567.22363
265: bad sentence 132, PPL: -22048.32227
266: good sentence 133, PPL: -5054.50928
267: bad sentence 133, PPL: -6508.13037
268: good sentence 134, PPL: -1855.86975
269: bad sentence 134, PPL: -3181.81641
270: good sentence 135, PPL: -10733.90039
271: bad sentence 135, PPL: -21940.21484
272: good sentence 136, PPL: -5826.53320
273: bad sentence 136, PPL: -4324.48926
274: good sentence 137, PPL: -16397.69336
275: bad sentence 137, PPL: -46651.37891
276: good sentence 138, PPL: -9383.70020
277: bad sentence 138, PPL: -16625.25977
278: good sentence 139, PPL: -799.52753
279: bad sentence 139, PPL: -1677.40466
280: good sentence 140, PPL: -10660.61133
281: bad sentence 140, PPL: -30815.13086
282: good sentence 141, PPL: -11293.59668
283: bad sentence 141, PPL: -30242.02930
284: good sentence 142, PPL: -3603.11572
285: bad sentence 142, PPL: -22604.44336
286: good sentence 143, PPL: -13563.85059
287: bad sentence 143, PPL: -32433.29883
288: good sentence 144, PPL: -3203.44287
289: bad sentence 144, PPL: -6442.03223
290: good sentence 145, PPL: -10077.70215
291: bad sentence 145, PPL: -24175.88867
292: good sentence 146, PPL: -3643.64160
293: bad sentence 146, PPL: -8190.34814
294: good sentence 147, PPL: -21655.05273
295: bad sentence 147, PPL: -51578.51953
296: good sentence 148, PPL: -15044.60059
297: bad sentence 148, PPL: -22828.86133
298: good sentence 149, PPL: -21585.09570
299: bad sentence 149, PPL: -32420.46680
300: good sentence 150, PPL: -7142.98535
301: bad sentence 150, PPL: -21874.55078
302: good sentence 151, PPL: -6606.64160
303: bad sentence 151, PPL: -15923.91113
304: good sentence 152, PPL: -7051.41699
305: bad sentence 152, PPL: -34343.04297
306: good sentence 153, PPL: -6399.16455
307: bad sentence 153, PPL: -9013.74902
308: good sentence 154, PPL: -7849.54736
309: bad sentence 154, PPL: -18206.10156
310: good sentence 155, PPL: -4881.39355
311: bad sentence 155, PPL: -7271.22314
312: good sentence 156, PPL: -1749.83716
313: bad sentence 156, PPL: -2990.37134
314: good sentence 157, PPL: -11901.64355
315: bad sentence 157, PPL: -12051.92188
316: good sentence 158, PPL: -7949.70605
317: bad sentence 158, PPL: -15174.42871
318: good sentence 159, PPL: -18094.57812
319: bad sentence 159, PPL: -45621.22656
320: good sentence 160, PPL: -12690.44434
321: bad sentence 160, PPL: -35100.77734
322: good sentence 161, PPL: -16218.73047
323: bad sentence 161, PPL: -26072.07422
324: good sentence 162, PPL: -27689.49609
325: bad sentence 162, PPL: -82581.49219
326: good sentence 163, PPL: -16787.49805
327: bad sentence 163, PPL: -28541.65820
328: good sentence 164, PPL: -19989.90625
329: bad sentence 164, PPL: -31647.70898
330: good sentence 165, PPL: -8140.33936
331: bad sentence 165, PPL: -12559.18652
332: good sentence 166, PPL: -2178.42529
333: bad sentence 166, PPL: -4213.58984
334: good sentence 167, PPL: -3979.52417
335: bad sentence 167, PPL: -10559.57910
336: good sentence 168, PPL: -5080.35498
337: bad sentence 168, PPL: -6795.64062
338: good sentence 169, PPL: -7620.29248
339: bad sentence 169, PPL: -16891.28906
340: good sentence 170, PPL: -2030.05176
341: bad sentence 170, PPL: -3795.15625
342: good sentence 171, PPL: -10838.76172
343: bad sentence 171, PPL: -36191.51953
344: good sentence 172, PPL: -6059.67627
345: bad sentence 172, PPL: -8496.75391
346: good sentence 173, PPL: -22357.74023
347: bad sentence 173, PPL: -51992.48047
348: good sentence 174, PPL: -9497.15625
349: bad sentence 174, PPL: -19123.51562
350: good sentence 175, PPL: -4041.76489
351: bad sentence 175, PPL: -11191.01367
352: good sentence 176, PPL: -4557.89355
353: bad sentence 176, PPL: -7121.27490
354: good sentence 177, PPL: -8100.79688
355: bad sentence 177, PPL: -21414.93164
356: good sentence 178, PPL: -7125.21484
357: bad sentence 178, PPL: -20136.20117
358: good sentence 179, PPL: -10986.42578
359: bad sentence 179, PPL: -21483.41602
360: good sentence 180, PPL: -10057.11719
361: bad sentence 180, PPL: -16266.34570
362: good sentence 181, PPL: -9937.86328
363: bad sentence 181, PPL: -7487.95557
364: good sentence 182, PPL: -3897.28687
365: bad sentence 182, PPL: -6414.68994
366: good sentence 183, PPL: -7536.26221
367: bad sentence 183, PPL: -17703.08398
368: good sentence 184, PPL: -8539.23145
