PolarityItem
	even_wh
Model: imone/pangu_2_6B, Accuracy: 47.70000, Average Perplexity (Good Sentences): -7493.67773, Average Perplexity (Bad Sentences): -7370.13623
0: good sentence 0, PPL: -8140.84375
1: bad sentence 0, PPL: -9820.06055
2: good sentence 1, PPL: -17964.36719
3: bad sentence 1, PPL: -23326.25781
4: good sentence 2, PPL: -2311.46973
5: bad sentence 2, PPL: -1460.10339
6: good sentence 3, PPL: -2981.67456
7: bad sentence 3, PPL: -2038.74841
8: good sentence 4, PPL: -8536.71582
9: bad sentence 4, PPL: -9986.69727
10: good sentence 5, PPL: -20571.65039
11: bad sentence 5, PPL: -31516.87305
12: good sentence 6, PPL: -4712.87158
13: bad sentence 6, PPL: -3714.61670
14: good sentence 7, PPL: -4220.54785
15: bad sentence 7, PPL: -3625.58594
16: good sentence 8, PPL: -5773.62598
17: bad sentence 8, PPL: -8071.53906
18: good sentence 9, PPL: -4955.90039
19: bad sentence 9, PPL: -3701.64917
20: good sentence 10, PPL: -6818.86865
21: bad sentence 10, PPL: -6448.50488
22: good sentence 11, PPL: -6358.21240
23: bad sentence 11, PPL: -5692.02832
24: good sentence 12, PPL: -5976.11035
25: bad sentence 12, PPL: -6270.30859
26: good sentence 13, PPL: -9544.15234
27: bad sentence 13, PPL: -10917.08496
28: good sentence 14, PPL: -5601.50537
29: bad sentence 14, PPL: -4655.76221
30: good sentence 15, PPL: -5296.73730
31: bad sentence 15, PPL: -4275.01270
32: good sentence 16, PPL: -10216.53613
33: bad sentence 16, PPL: -10831.58008
34: good sentence 17, PPL: -3974.94238
35: bad sentence 17, PPL: -3381.28125
36: good sentence 18, PPL: -4929.02881
37: bad sentence 18, PPL: -3260.91992
38: good sentence 19, PPL: -5475.25488
39: bad sentence 19, PPL: -3802.79346
40: good sentence 20, PPL: -4428.47754
41: bad sentence 20, PPL: -3861.78760
42: good sentence 21, PPL: -8866.96582
43: bad sentence 21, PPL: -8910.73242
44: good sentence 22, PPL: -3766.42651
45: bad sentence 22, PPL: -2850.83984
46: good sentence 23, PPL: -8624.10938
47: bad sentence 23, PPL: -6174.22656
48: good sentence 24, PPL: -14518.32715
49: bad sentence 24, PPL: -14100.12402
50: good sentence 25, PPL: -14645.98926
51: bad sentence 25, PPL: -14276.94824
52: good sentence 26, PPL: -11086.71973
53: bad sentence 26, PPL: -13054.91699
54: good sentence 27, PPL: -16160.36914
55: bad sentence 27, PPL: -17513.78125
56: good sentence 28, PPL: -22997.75586
57: bad sentence 28, PPL: -38810.80469
58: good sentence 29, PPL: -5604.55713
59: bad sentence 29, PPL: -5371.19238
60: good sentence 30, PPL: -3670.73120
61: bad sentence 30, PPL: -5273.04395
62: good sentence 31, PPL: -11762.11133
63: bad sentence 31, PPL: -11935.76660
64: good sentence 32, PPL: -5150.10303
65: bad sentence 32, PPL: -11564.82422
66: good sentence 33, PPL: -9160.35840
67: bad sentence 33, PPL: -9655.47656
68: good sentence 34, PPL: -7987.14014
69: bad sentence 34, PPL: -7958.48291
70: good sentence 35, PPL: -3401.38843
71: bad sentence 35, PPL: -2591.65405
72: good sentence 36, PPL: -8478.38867
73: bad sentence 36, PPL: -8180.77734
74: good sentence 37, PPL: -3382.94556
75: bad sentence 37, PPL: -2550.98413
76: good sentence 38, PPL: -3113.45850
77: bad sentence 38, PPL: -2153.35376
78: good sentence 39, PPL: -4571.89404
79: bad sentence 39, PPL: -3723.14648
80: good sentence 40, PPL: -7703.15820
81: bad sentence 40, PPL: -6443.95605
82: good sentence 41, PPL: -6102.40527
83: bad sentence 41, PPL: -4463.61035
84: good sentence 42, PPL: -6050.11914
85: bad sentence 42, PPL: -7950.83594
86: good sentence 43, PPL: -7764.47070
87: bad sentence 43, PPL: -11411.09570
88: good sentence 44, PPL: -8789.97852
89: bad sentence 44, PPL: -8190.95703
90: good sentence 45, PPL: -9706.51465
91: bad sentence 45, PPL: -9256.22754
92: good sentence 46, PPL: -9473.55566
93: bad sentence 46, PPL: -7722.90137
94: good sentence 47, PPL: -6261.78711
95: bad sentence 47, PPL: -8176.75293
96: good sentence 48, PPL: -8941.26758
97: bad sentence 48, PPL: -10238.47266
98: good sentence 49, PPL: -12624.27148
99: bad sentence 49, PPL: -15907.18457
100: good sentence 50, PPL: -15916.16895
101: bad sentence 50, PPL: -18049.25000
102: good sentence 51, PPL: -8093.84717
103: bad sentence 51, PPL: -6828.91016
104: good sentence 52, PPL: -17419.23633
105: bad sentence 52, PPL: -19180.31836
106: good sentence 53, PPL: -14421.19336
107: bad sentence 53, PPL: -17788.63281
108: good sentence 54, PPL: -3440.73438
109: bad sentence 54, PPL: -4287.58398
110: good sentence 55, PPL: -6913.55322
111: bad sentence 55, PPL: -5679.21582
112: good sentence 56, PPL: -7174.04785
113: bad sentence 56, PPL: -7032.85449
114: good sentence 57, PPL: -7670.71924
115: bad sentence 57, PPL: -4989.91846
116: good sentence 58, PPL: -11282.44434
117: bad sentence 58, PPL: -9527.61816
118: good sentence 59, PPL: -14220.41992
119: bad sentence 59, PPL: -13178.00293
120: good sentence 60, PPL: -4867.09473
121: bad sentence 60, PPL: -6330.87012
122: good sentence 61, PPL: -4980.29639
123: bad sentence 61, PPL: -6125.15625
124: good sentence 62, PPL: -11600.83496
125: bad sentence 62, PPL: -13197.87500
126: good sentence 63, PPL: -6632.98633
127: bad sentence 63, PPL: -6989.85303
128: good sentence 64, PPL: -7681.53906
129: bad sentence 64, PPL: -7531.06055
130: good sentence 65, PPL: -6733.20166
131: bad sentence 65, PPL: -6385.77100
132: good sentence 66, PPL: -6835.26904
133: bad sentence 66, PPL: -6624.90088
134: good sentence 67, PPL: -6357.50342
135: bad sentence 67, PPL: -6536.60645
136: good sentence 68, PPL: -17432.31445
137: bad sentence 68, PPL: -14821.78418
138: good sentence 69, PPL: -5500.91650
139: bad sentence 69, PPL: -6990.51953
140: good sentence 70, PPL: -6772.24023
141: bad sentence 70, PPL: -8429.62695
142: good sentence 71, PPL: -6560.00000
143: bad sentence 71, PPL: -6973.63379
144: good sentence 72, PPL: -6647.35498
145: bad sentence 72, PPL: -6029.17676
146: good sentence 73, PPL: -8891.35352
147: bad sentence 73, PPL: -7233.45947
148: good sentence 74, PPL: -7457.70264
149: bad sentence 74, PPL: -6022.59131
150: good sentence 75, PPL: -8114.89258
151: bad sentence 75, PPL: -9510.63379
152: good sentence 76, PPL: -29209.67383
153: bad sentence 76, PPL: -30019.56641
154: good sentence 77, PPL: -6218.33350
155: bad sentence 77, PPL: -9083.83008
156: good sentence 78, PPL: -7116.68555
157: bad sentence 78, PPL: -6310.19482
158: good sentence 79, PPL: -3349.53638
159: bad sentence 79, PPL: -2679.67358
160: good sentence 80, PPL: -15276.94336
161: bad sentence 80, PPL: -17566.74023
162: good sentence 81, PPL: -7206.57861
163: bad sentence 81, PPL: -7821.92871
164: good sentence 82, PPL: -10614.63574
165: bad sentence 82, PPL: -8411.73535
166: good sentence 83, PPL: -9430.22461
167: bad sentence 83, PPL: -12345.68066
168: good sentence 84, PPL: -6456.06738
169: bad sentence 84, PPL: -5305.22021
170: good sentence 85, PPL: -18712.91797
171: bad sentence 85, PPL: -27055.44531
172: good sentence 86, PPL: -6838.16455
173: bad sentence 86, PPL: -6536.83691
174: good sentence 87, PPL: -6612.99561
175: bad sentence 87, PPL: -5860.50488
176: good sentence 88, PPL: -8662.67773
177: bad sentence 88, PPL: -9425.37012
