PolarityItem
	more_or_less
Model: imone/pangu_2_6B, Accuracy: 97.60000, Average Perplexity (Good Sentences): -17697.00781, Average Perplexity (Bad Sentences): -31488.44922
0: good sentence 0, PPL: -21061.54297
1: bad sentence 0, PPL: -50984.32422
2: good sentence 1, PPL: -27608.72852
3: bad sentence 1, PPL: -37766.83203
4: good sentence 2, PPL: -8977.20312
5: bad sentence 2, PPL: -18304.48438
6: good sentence 3, PPL: -34488.93359
7: bad sentence 3, PPL: -59667.33984
8: good sentence 4, PPL: -50104.87891
9: bad sentence 4, PPL: -89001.11719
10: good sentence 5, PPL: -17003.24414
11: bad sentence 5, PPL: -23213.61133
12: good sentence 6, PPL: -6551.82227
13: bad sentence 6, PPL: -21577.33398
14: good sentence 7, PPL: -16119.85547
15: bad sentence 7, PPL: -30537.41211
16: good sentence 8, PPL: -37421.35547
17: bad sentence 8, PPL: -48114.35547
18: good sentence 9, PPL: -6145.98682
19: bad sentence 9, PPL: -11523.44043
20: good sentence 10, PPL: -12408.68848
21: bad sentence 10, PPL: -26832.46094
22: good sentence 11, PPL: -9717.02637
23: bad sentence 11, PPL: -27854.41992
24: good sentence 12, PPL: -19609.39844
25: bad sentence 12, PPL: -17515.76953
26: good sentence 13, PPL: -9092.45312
27: bad sentence 13, PPL: -16061.66699
28: good sentence 14, PPL: -14031.80566
29: bad sentence 14, PPL: -23949.02734
30: good sentence 15, PPL: -20798.86328
31: bad sentence 15, PPL: -35860.38672
32: good sentence 16, PPL: -37432.60156
33: bad sentence 16, PPL: -58512.09766
34: good sentence 17, PPL: -9706.03320
35: bad sentence 17, PPL: -39738.67578
36: good sentence 18, PPL: -34980.27734
37: bad sentence 18, PPL: -59855.36328
38: good sentence 19, PPL: -4378.94629
39: bad sentence 19, PPL: -22733.20312
40: good sentence 20, PPL: -56119.40625
41: bad sentence 20, PPL: -83890.11719
42: good sentence 21, PPL: -46967.30078
43: bad sentence 21, PPL: -74998.43750
44: good sentence 22, PPL: -10779.98242
45: bad sentence 22, PPL: -11879.76953
46: good sentence 23, PPL: -23023.21094
47: bad sentence 23, PPL: -27781.12109
48: good sentence 24, PPL: -29176.65234
49: bad sentence 24, PPL: -61315.82422
50: good sentence 25, PPL: -19419.00000
51: bad sentence 25, PPL: -45228.31641
52: good sentence 26, PPL: -7726.86426
53: bad sentence 26, PPL: -22245.12500
54: good sentence 27, PPL: -19309.36133
55: bad sentence 27, PPL: -22324.54492
56: good sentence 28, PPL: -45016.93750
57: bad sentence 28, PPL: -67914.32812
58: good sentence 29, PPL: -14004.66602
59: bad sentence 29, PPL: -25768.17773
60: good sentence 30, PPL: -7115.32764
61: bad sentence 30, PPL: -19134.42578
62: good sentence 31, PPL: -23507.54883
63: bad sentence 31, PPL: -32704.98242
64: good sentence 32, PPL: -49949.10938
65: bad sentence 32, PPL: -78122.78125
66: good sentence 33, PPL: -24280.20898
67: bad sentence 33, PPL: -33951.76953
68: good sentence 34, PPL: -12426.26270
69: bad sentence 34, PPL: -16823.79883
70: good sentence 35, PPL: -57947.83984
71: bad sentence 35, PPL: -94582.23438
72: good sentence 36, PPL: -6071.46484
73: bad sentence 36, PPL: -13077.04688
74: good sentence 37, PPL: -19693.22656
75: bad sentence 37, PPL: -29527.67383
76: good sentence 38, PPL: -24987.42969
77: bad sentence 38, PPL: -33599.67578
78: good sentence 39, PPL: -23172.47070
79: bad sentence 39, PPL: -28415.39453
80: good sentence 40, PPL: -42642.16406
81: bad sentence 40, PPL: -57106.32422
82: good sentence 41, PPL: -31922.76367
83: bad sentence 41, PPL: -58152.67188
84: good sentence 42, PPL: -20848.92773
85: bad sentence 42, PPL: -35574.26562
86: good sentence 43, PPL: -5235.94238
87: bad sentence 43, PPL: -13602.87988
