RelativeClause
	rc_resumptive_pronoun
Model: imone/pangu_2_6B, Accuracy: 11.80000, Average Perplexity (Good Sentences): -2934.55811, Average Perplexity (Bad Sentences): -2531.64746
0: good sentence 0, PPL: -2654.02832
1: bad sentence 0, PPL: -2145.78931
2: good sentence 1, PPL: -6282.30957
3: bad sentence 1, PPL: -4758.89404
4: good sentence 2, PPL: -1837.93323
5: bad sentence 2, PPL: -1686.47620
6: good sentence 3, PPL: -8148.74365
7: bad sentence 3, PPL: -4676.79297
8: good sentence 4, PPL: -4463.12939
9: bad sentence 4, PPL: -4259.14990
10: good sentence 5, PPL: -2275.70752
11: bad sentence 5, PPL: -2092.04712
12: good sentence 6, PPL: -3964.19849
13: bad sentence 6, PPL: -3234.70410
14: good sentence 7, PPL: -1395.71533
15: bad sentence 7, PPL: -1390.47803
16: good sentence 8, PPL: -8319.54102
17: bad sentence 8, PPL: -5859.58301
18: good sentence 9, PPL: -4449.96680
19: bad sentence 9, PPL: -4007.56250
20: good sentence 10, PPL: -2659.53003
21: bad sentence 10, PPL: -1954.45300
22: good sentence 11, PPL: -3345.99878
23: bad sentence 11, PPL: -2550.45239
24: good sentence 12, PPL: -1194.41125
25: bad sentence 12, PPL: -1166.00586
26: good sentence 13, PPL: -5752.59814
27: bad sentence 13, PPL: -4618.54834
28: good sentence 14, PPL: -1652.74280
29: bad sentence 14, PPL: -1631.10449
30: good sentence 15, PPL: -2961.81787
31: bad sentence 15, PPL: -2424.73511
32: good sentence 16, PPL: -8499.04883
33: bad sentence 16, PPL: -6924.44727
34: good sentence 17, PPL: -5293.36426
35: bad sentence 17, PPL: -4699.98535
36: good sentence 18, PPL: -5601.28662
37: bad sentence 18, PPL: -4041.54517
38: good sentence 19, PPL: -4229.96875
39: bad sentence 19, PPL: -3727.42749
40: good sentence 20, PPL: -1651.85730
41: bad sentence 20, PPL: -1472.70422
42: good sentence 21, PPL: -3814.86377
43: bad sentence 21, PPL: -3721.37842
44: good sentence 22, PPL: -3374.80249
45: bad sentence 22, PPL: -2517.05273
46: good sentence 23, PPL: -2329.86548
47: bad sentence 23, PPL: -2160.27100
48: good sentence 24, PPL: -6869.98389
49: bad sentence 24, PPL: -6004.37695
50: good sentence 25, PPL: -3680.14941
51: bad sentence 25, PPL: -3267.12988
52: good sentence 26, PPL: -2921.96729
53: bad sentence 26, PPL: -2169.57935
54: good sentence 27, PPL: -2465.68042
55: bad sentence 27, PPL: -2030.78271
56: good sentence 28, PPL: -2831.80054
57: bad sentence 28, PPL: -2789.00513
58: good sentence 29, PPL: -2737.02954
59: bad sentence 29, PPL: -2488.04028
60: good sentence 30, PPL: -1521.94360
61: bad sentence 30, PPL: -1455.33716
62: good sentence 31, PPL: -3235.93823
63: bad sentence 31, PPL: -3101.05420
64: good sentence 32, PPL: -3511.73682
65: bad sentence 32, PPL: -2595.74805
66: good sentence 33, PPL: -3428.46484
67: bad sentence 33, PPL: -3081.33521
68: good sentence 34, PPL: -2361.34668
69: bad sentence 34, PPL: -2108.00391
70: good sentence 35, PPL: -859.17969
71: bad sentence 35, PPL: -851.81860
72: good sentence 36, PPL: -1917.94763
73: bad sentence 36, PPL: -1653.60840
74: good sentence 37, PPL: -2038.21765
75: bad sentence 37, PPL: -1530.78528
76: good sentence 38, PPL: -2142.09351
77: bad sentence 38, PPL: -1963.16748
78: good sentence 39, PPL: -3697.75732
79: bad sentence 39, PPL: -3282.18579
80: good sentence 40, PPL: -3032.21558
81: bad sentence 40, PPL: -2232.47266
82: good sentence 41, PPL: -2113.04980
83: bad sentence 41, PPL: -1789.35364
84: good sentence 42, PPL: -4040.90137
85: bad sentence 42, PPL: -3299.61670
86: good sentence 43, PPL: -1763.15930
87: bad sentence 43, PPL: -1591.91968
88: good sentence 44, PPL: -5411.12061
89: bad sentence 44, PPL: -4379.97363
90: good sentence 45, PPL: -3394.56689
91: bad sentence 45, PPL: -3342.06006
92: good sentence 46, PPL: -4328.58252
93: bad sentence 46, PPL: -4114.49121
94: good sentence 47, PPL: -5295.91943
95: bad sentence 47, PPL: -4069.39917
96: good sentence 48, PPL: -1680.35718
97: bad sentence 48, PPL: -1425.89050
98: good sentence 49, PPL: -2710.74243
99: bad sentence 49, PPL: -2339.73169
100: good sentence 50, PPL: -2175.41479
101: bad sentence 50, PPL: -1840.13086
102: good sentence 51, PPL: -4111.01611
103: bad sentence 51, PPL: -2999.60278
104: good sentence 52, PPL: -3088.62549
105: bad sentence 52, PPL: -2920.66064
106: good sentence 53, PPL: -1333.13574
107: bad sentence 53, PPL: -1378.68079
108: good sentence 54, PPL: -893.87128
109: bad sentence 54, PPL: -825.47308
110: good sentence 55, PPL: -5159.82715
111: bad sentence 55, PPL: -3472.25098
112: good sentence 56, PPL: -5389.72119
113: bad sentence 56, PPL: -5412.30225
114: good sentence 57, PPL: -1279.02991
115: bad sentence 57, PPL: -996.02216
116: good sentence 58, PPL: -4086.27759
117: bad sentence 58, PPL: -3358.70703
118: good sentence 59, PPL: -4137.74658
119: bad sentence 59, PPL: -3082.48730
120: good sentence 60, PPL: -2556.96606
121: bad sentence 60, PPL: -2495.93726
122: good sentence 61, PPL: -1364.80603
123: bad sentence 61, PPL: -1587.86902
124: good sentence 62, PPL: -1365.25195
125: bad sentence 62, PPL: -1359.30115
126: good sentence 63, PPL: -1695.30334
127: bad sentence 63, PPL: -1019.67078
128: good sentence 64, PPL: -2845.81055
129: bad sentence 64, PPL: -2361.72607
130: good sentence 65, PPL: -1801.71423
131: bad sentence 65, PPL: -1612.49915
132: good sentence 66, PPL: -3328.65942
133: bad sentence 66, PPL: -2804.92407
134: good sentence 67, PPL: -3630.51294
135: bad sentence 67, PPL: -2539.38525
136: good sentence 68, PPL: -1247.27209
137: bad sentence 68, PPL: -1054.25073
138: good sentence 69, PPL: -2216.34204
139: bad sentence 69, PPL: -1685.79688
140: good sentence 70, PPL: -2574.21558
141: bad sentence 70, PPL: -2493.07202
142: good sentence 71, PPL: -2461.89404
143: bad sentence 71, PPL: -2028.87219
144: good sentence 72, PPL: -1119.11096
145: bad sentence 72, PPL: -928.95624
146: good sentence 73, PPL: -3846.99219
147: bad sentence 73, PPL: -3340.61353
148: good sentence 74, PPL: -5258.97217
149: bad sentence 74, PPL: -4061.96655
150: good sentence 75, PPL: -2312.52466
151: bad sentence 75, PPL: -2069.36084
152: good sentence 76, PPL: -2091.11768
153: bad sentence 76, PPL: -1855.12488
154: good sentence 77, PPL: -2125.65381
155: bad sentence 77, PPL: -2226.40869
156: good sentence 78, PPL: -2953.81494
157: bad sentence 78, PPL: -2696.87988
158: good sentence 79, PPL: -3682.11182
159: bad sentence 79, PPL: -2555.43628
160: good sentence 80, PPL: -4713.72998
161: bad sentence 80, PPL: -4041.17505
162: good sentence 81, PPL: -1382.70532
163: bad sentence 81, PPL: -1153.81641
164: good sentence 82, PPL: -4497.04053
165: bad sentence 82, PPL: -3930.73901
166: good sentence 83, PPL: -4796.14990
167: bad sentence 83, PPL: -3266.28271
168: good sentence 84, PPL: -2302.36694
169: bad sentence 84, PPL: -2070.24585
170: good sentence 85, PPL: -2200.68018
171: bad sentence 85, PPL: -2346.84473
172: good sentence 86, PPL: -6327.38135
173: bad sentence 86, PPL: -3239.41821
174: good sentence 87, PPL: -2774.06787
175: bad sentence 87, PPL: -2485.48584
176: good sentence 88, PPL: -5443.84326
177: bad sentence 88, PPL: -4372.69531
178: good sentence 89, PPL: -1027.99072
179: bad sentence 89, PPL: -899.09241
180: good sentence 90, PPL: -4829.44434
181: bad sentence 90, PPL: -3868.27100
182: good sentence 91, PPL: -4108.05713
183: bad sentence 91, PPL: -3016.42749
184: good sentence 92, PPL: -2094.62134
185: bad sentence 92, PPL: -1628.19824
186: good sentence 93, PPL: -1324.11865
187: bad sentence 93, PPL: -1596.38477
188: good sentence 94, PPL: -2452.89600
189: bad sentence 94, PPL: -2395.55811
190: good sentence 95, PPL: -3837.73584
191: bad sentence 95, PPL: -3038.98096
192: good sentence 96, PPL: -4491.40869
193: bad sentence 96, PPL: -3564.80127
194: good sentence 97, PPL: -2853.66479
195: bad sentence 97, PPL: -2378.67920
196: good sentence 98, PPL: -3664.28857
197: bad sentence 98, PPL: -2676.54346
198: good sentence 99, PPL: -2688.50854
199: bad sentence 99, PPL: -2330.04883
200: good sentence 100, PPL: -4068.79785
201: bad sentence 100, PPL: -3288.99780
202: good sentence 101, PPL: -6664.24561
203: bad sentence 101, PPL: -5588.21436
204: good sentence 102, PPL: -2005.02563
