WhFronting
	bare_wh
Model: imone/pangu_2_6B, Accuracy: 99.70000, Average Perplexity (Good Sentences): -3221.97021, Average Perplexity (Bad Sentences): -8865.32520
0: good sentence 0, PPL: -3476.87012
1: bad sentence 0, PPL: -6504.25293
2: good sentence 1, PPL: -2255.66455
3: bad sentence 1, PPL: -3973.13086
4: good sentence 2, PPL: -4769.27588
5: bad sentence 2, PPL: -14173.85840
6: good sentence 3, PPL: -4652.71289
7: bad sentence 3, PPL: -8873.18262
8: good sentence 4, PPL: -3491.05396
9: bad sentence 4, PPL: -11196.44824
10: good sentence 5, PPL: -698.21844
11: bad sentence 5, PPL: -3150.56787
12: good sentence 6, PPL: -1729.73206
13: bad sentence 6, PPL: -6321.03613
14: good sentence 7, PPL: -6162.70850
15: bad sentence 7, PPL: -23411.16602
16: good sentence 8, PPL: -3873.02539
17: bad sentence 8, PPL: -8675.84766
18: good sentence 9, PPL: -5042.69922
19: bad sentence 9, PPL: -16236.91406
20: good sentence 10, PPL: -3807.80859
21: bad sentence 10, PPL: -11166.68555
22: good sentence 11, PPL: -6191.08447
23: bad sentence 11, PPL: -19741.17578
24: good sentence 12, PPL: -3060.35205
25: bad sentence 12, PPL: -11576.23438
26: good sentence 13, PPL: -1141.59155
27: bad sentence 13, PPL: -5156.49658
28: good sentence 14, PPL: -4276.99854
29: bad sentence 14, PPL: -7439.61719
30: good sentence 15, PPL: -4602.90332
31: bad sentence 15, PPL: -12712.57520
32: good sentence 16, PPL: -4119.86621
33: bad sentence 16, PPL: -10120.36816
34: good sentence 17, PPL: -1604.75183
35: bad sentence 17, PPL: -5086.75879
36: good sentence 18, PPL: -6545.17725
37: bad sentence 18, PPL: -14695.67188
38: good sentence 19, PPL: -4553.23193
39: bad sentence 19, PPL: -10637.81152
40: good sentence 20, PPL: -2642.23315
41: bad sentence 20, PPL: -8644.74414
42: good sentence 21, PPL: -3620.62085
43: bad sentence 21, PPL: -7939.28125
44: good sentence 22, PPL: -8475.34863
45: bad sentence 22, PPL: -9841.02344
46: good sentence 23, PPL: -5414.67236
47: bad sentence 23, PPL: -11062.48145
48: good sentence 24, PPL: -1445.75891
49: bad sentence 24, PPL: -5603.31152
50: good sentence 25, PPL: -1133.04810
51: bad sentence 25, PPL: -5985.31592
52: good sentence 26, PPL: -4626.46533
53: bad sentence 26, PPL: -13907.29395
54: good sentence 27, PPL: -1021.49280
55: bad sentence 27, PPL: -4862.04248
56: good sentence 28, PPL: -2161.53857
57: bad sentence 28, PPL: -3761.75269
58: good sentence 29, PPL: -6019.34082
59: bad sentence 29, PPL: -10511.25098
60: good sentence 30, PPL: -2381.73657
61: bad sentence 30, PPL: -3800.73389
62: good sentence 31, PPL: -5335.68457
63: bad sentence 31, PPL: -11379.54688
64: good sentence 32, PPL: -1365.30005
65: bad sentence 32, PPL: -4574.35352
66: good sentence 33, PPL: -5784.68750
67: bad sentence 33, PPL: -12006.84766
68: good sentence 34, PPL: -1359.61157
69: bad sentence 34, PPL: -5294.83301
70: good sentence 35, PPL: -5323.34375
71: bad sentence 35, PPL: -14182.33496
72: good sentence 36, PPL: -1133.54358
73: bad sentence 36, PPL: -4682.37646
74: good sentence 37, PPL: -3210.61206
75: bad sentence 37, PPL: -7039.75195
76: good sentence 38, PPL: -5501.18896
77: bad sentence 38, PPL: -15766.57617
78: good sentence 39, PPL: -2050.78711
79: bad sentence 39, PPL: -8059.15527
80: good sentence 40, PPL: -4140.60449
81: bad sentence 40, PPL: -11069.00293
82: good sentence 41, PPL: -3968.22705
83: bad sentence 41, PPL: -7522.63379
84: good sentence 42, PPL: -5631.98438
85: bad sentence 42, PPL: -11227.14551
86: good sentence 43, PPL: -1095.60974
87: bad sentence 43, PPL: -5259.19775
88: good sentence 44, PPL: -4996.15625
89: bad sentence 44, PPL: -16869.70117
90: good sentence 45, PPL: -3473.74463
91: bad sentence 45, PPL: -8342.20801
92: good sentence 46, PPL: -1337.38318
93: bad sentence 46, PPL: -4880.25293
94: good sentence 47, PPL: -2404.10059
95: bad sentence 47, PPL: -9961.22363
96: good sentence 48, PPL: -4433.04102
97: bad sentence 48, PPL: -8167.42383
98: good sentence 49, PPL: -965.48730
99: bad sentence 49, PPL: -3289.96729
100: good sentence 50, PPL: -1893.26587
101: bad sentence 50, PPL: -6934.41260
102: good sentence 51, PPL: -5228.72168
103: bad sentence 51, PPL: -10491.88184
104: good sentence 52, PPL: -8253.26367
105: bad sentence 52, PPL: -16802.77734
106: good sentence 53, PPL: -3368.33667
107: bad sentence 53, PPL: -6225.73242
108: good sentence 54, PPL: -5521.08789
109: bad sentence 54, PPL: -17618.43359
110: good sentence 55, PPL: -4207.77148
111: bad sentence 55, PPL: -8364.53027
112: good sentence 56, PPL: -2338.39331
113: bad sentence 56, PPL: -7414.83301
114: good sentence 57, PPL: -5333.90332
115: bad sentence 57, PPL: -13660.57520
116: good sentence 58, PPL: -4820.92725
117: bad sentence 58, PPL: -9693.28516
118: good sentence 59, PPL: -1486.54968
119: bad sentence 59, PPL: -5415.10596
120: good sentence 60, PPL: -1218.73120
121: bad sentence 60, PPL: -4538.54834
122: good sentence 61, PPL: -5056.49121
123: bad sentence 61, PPL: -8696.49902
124: good sentence 62, PPL: -5640.41260
125: bad sentence 62, PPL: -14219.97168
126: good sentence 63, PPL: -1086.93958
127: bad sentence 63, PPL: -5356.08740
128: good sentence 64, PPL: -4896.42969
129: bad sentence 64, PPL: -14700.45215
130: good sentence 65, PPL: -6085.26123
131: bad sentence 65, PPL: -12432.83008
132: good sentence 66, PPL: -3767.94604
133: bad sentence 66, PPL: -6176.80029
134: good sentence 67, PPL: -6405.14746
135: bad sentence 67, PPL: -21540.10156
136: good sentence 68, PPL: -5949.03760
137: bad sentence 68, PPL: -10989.96777
138: good sentence 69, PPL: -1311.66284
139: bad sentence 69, PPL: -5749.95947
140: good sentence 70, PPL: -2851.32129
141: bad sentence 70, PPL: -4559.36768
142: good sentence 71, PPL: -4045.97607
143: bad sentence 71, PPL: -6752.13867
144: good sentence 72, PPL: -6332.21045
145: bad sentence 72, PPL: -18692.15625
146: good sentence 73, PPL: -5606.68994
147: bad sentence 73, PPL: -10953.41797
148: good sentence 74, PPL: -2107.74756
149: bad sentence 74, PPL: -7287.60693
150: good sentence 75, PPL: -1389.27063
151: bad sentence 75, PPL: -5144.65918
152: good sentence 76, PPL: -5968.26221
153: bad sentence 76, PPL: -10616.15332
154: good sentence 77, PPL: -5504.38525
155: bad sentence 77, PPL: -13914.47168
156: good sentence 78, PPL: -1937.93335
157: bad sentence 78, PPL: -6805.62207
158: good sentence 79, PPL: -6797.10547
159: bad sentence 79, PPL: -14167.49316
160: good sentence 80, PPL: -8843.58984
161: bad sentence 80, PPL: -9743.63086
162: good sentence 81, PPL: -5638.49268
163: bad sentence 81, PPL: -6534.09473
164: good sentence 82, PPL: -3332.83618
165: bad sentence 82, PPL: -7695.90332
166: good sentence 83, PPL: -6286.99658
167: bad sentence 83, PPL: -19575.11328
168: good sentence 84, PPL: -1052.05725
169: bad sentence 84, PPL: -3896.19775
170: good sentence 85, PPL: -3285.79688
171: bad sentence 85, PPL: -7440.68848
172: good sentence 86, PPL: -4527.49854
173: bad sentence 86, PPL: -22731.07812
174: good sentence 87, PPL: -1465.72656
175: bad sentence 87, PPL: -6167.76514
176: good sentence 88, PPL: -1376.63586
177: bad sentence 88, PPL: -6459.64600
178: good sentence 89, PPL: -5659.09814
179: bad sentence 89, PPL: -16944.50000
180: good sentence 90, PPL: -5026.17334
181: bad sentence 90, PPL: -10319.34375
182: good sentence 91, PPL: -2780.46289
183: bad sentence 91, PPL: -9710.68945
184: good sentence 92, PPL: -4191.32275
185: bad sentence 92, PPL: -7522.10303
186: good sentence 93, PPL: -1190.14795
187: bad sentence 93, PPL: -4117.76123
188: good sentence 94, PPL: -1372.88806
189: bad sentence 94, PPL: -5419.32617
190: good sentence 95, PPL: -5983.27246
191: bad sentence 95, PPL: -21885.63086
192: good sentence 96, PPL: -3489.02393
193: bad sentence 96, PPL: -9109.98633
194: good sentence 97, PPL: -1539.93445
195: bad sentence 97, PPL: -5120.36182
196: good sentence 98, PPL: -730.20764
197: bad sentence 98, PPL: -1938.05811
198: good sentence 99, PPL: -1927.42480
199: bad sentence 99, PPL: -7389.45508
200: good sentence 100, PPL: -5667.13477
201: bad sentence 100, PPL: -14083.94336
202: good sentence 101, PPL: -4053.69287
203: bad sentence 101, PPL: -11972.91016
204: good sentence 102, PPL: -5145.86133
205: bad sentence 102, PPL: -11833.67969
206: good sentence 103, PPL: -11154.37109
207: bad sentence 103, PPL: -30846.91406
208: good sentence 104, PPL: -5909.54590
209: bad sentence 104, PPL: -15808.28125
210: good sentence 105, PPL: -3453.00562
211: bad sentence 105, PPL: -6146.03369
212: good sentence 106, PPL: -5062.67725
213: bad sentence 106, PPL: -10552.48145
214: good sentence 107, PPL: -6004.54883
215: bad sentence 107, PPL: -13647.82715
216: good sentence 108, PPL: -1295.13342
217: bad sentence 108, PPL: -4639.54395
218: good sentence 109, PPL: -3937.98828
219: bad sentence 109, PPL: -7198.47998
220: good sentence 110, PPL: -1183.03625
221: bad sentence 110, PPL: -4204.30566
222: good sentence 111, PPL: -6080.44043
223: bad sentence 111, PPL: -10867.01758
224: good sentence 112, PPL: -6468.57812
225: bad sentence 112, PPL: -22191.36914
226: good sentence 113, PPL: -1210.07117
227: bad sentence 113, PPL: -4921.26465
228: good sentence 114, PPL: -1200.67834
229: bad sentence 114, PPL: -5091.30176
230: good sentence 115, PPL: -5994.02100
231: bad sentence 115, PPL: -10646.91504
232: good sentence 116, PPL: -10122.39551
233: bad sentence 116, PPL: -23709.45898
234: good sentence 117, PPL: -6667.69141
235: bad sentence 117, PPL: -17281.28711
236: good sentence 118, PPL: -2504.64551
237: bad sentence 118, PPL: -8403.61328
238: good sentence 119, PPL: -4907.64502
239: bad sentence 119, PPL: -14145.00000
240: good sentence 120, PPL: -6010.26611
241: bad sentence 120, PPL: -17813.57227
242: good sentence 121, PPL: -4524.59375
243: bad sentence 121, PPL: -11103.19336
244: good sentence 122, PPL: -1516.07812
245: bad sentence 122, PPL: -3467.96533
246: good sentence 123, PPL: -3035.12891
