WhFronting
	mod_wh
Model: imone/pangu_2_6B, Accuracy: 88.80000, Average Perplexity (Good Sentences): -5655.51611, Average Perplexity (Bad Sentences): -10277.18262
0: good sentence 0, PPL: -6262.37207
1: bad sentence 0, PPL: -6606.42773
2: good sentence 1, PPL: -3640.67871
3: bad sentence 1, PPL: -5526.43994
4: good sentence 2, PPL: -8774.84277
5: bad sentence 2, PPL: -13560.99121
6: good sentence 3, PPL: -7221.75537
7: bad sentence 3, PPL: -8900.16699
8: good sentence 4, PPL: -4309.92236
9: bad sentence 4, PPL: -4328.99121
10: good sentence 5, PPL: -838.49915
11: bad sentence 5, PPL: -2533.16919
12: good sentence 6, PPL: -2476.97559
13: bad sentence 6, PPL: -4586.11719
14: good sentence 7, PPL: -14952.28516
15: bad sentence 7, PPL: -28595.54883
16: good sentence 8, PPL: -5363.28418
17: bad sentence 8, PPL: -6982.89062
18: good sentence 9, PPL: -7822.04736
19: bad sentence 9, PPL: -12013.28418
20: good sentence 10, PPL: -6198.96533
21: bad sentence 10, PPL: -9749.01270
22: good sentence 11, PPL: -11356.94238
23: bad sentence 11, PPL: -21492.96680
24: good sentence 12, PPL: -3130.70386
25: bad sentence 12, PPL: -8889.76758
26: good sentence 13, PPL: -1590.07922
27: bad sentence 13, PPL: -2675.82886
28: good sentence 14, PPL: -7113.73340
29: bad sentence 14, PPL: -7683.37793
30: good sentence 15, PPL: -11078.98340
31: bad sentence 15, PPL: -14958.51758
32: good sentence 16, PPL: -9950.78906
33: bad sentence 16, PPL: -17110.78320
34: good sentence 17, PPL: -2527.57788
35: bad sentence 17, PPL: -5505.81836
36: good sentence 18, PPL: -8698.07520
37: bad sentence 18, PPL: -7374.75488
38: good sentence 19, PPL: -6272.30029
39: bad sentence 19, PPL: -9491.88574
40: good sentence 20, PPL: -3840.69067
41: bad sentence 20, PPL: -8154.65967
42: good sentence 21, PPL: -9019.90527
43: bad sentence 21, PPL: -9315.88965
44: good sentence 22, PPL: -14759.71973
45: bad sentence 22, PPL: -11035.92773
46: good sentence 23, PPL: -9378.23438
47: bad sentence 23, PPL: -13049.66406
48: good sentence 24, PPL: -2741.27979
49: bad sentence 24, PPL: -10221.38867
50: good sentence 25, PPL: -3228.62329
51: bad sentence 25, PPL: -11520.41895
52: good sentence 26, PPL: -6853.20654
53: bad sentence 26, PPL: -15142.63965
54: good sentence 27, PPL: -2551.68970
55: bad sentence 27, PPL: -11624.36816
56: good sentence 28, PPL: -3812.71411
57: bad sentence 28, PPL: -6951.52881
58: good sentence 29, PPL: -9783.82812
59: bad sentence 29, PPL: -6569.40967
60: good sentence 30, PPL: -4516.40283
61: bad sentence 30, PPL: -4077.56909
62: good sentence 31, PPL: -10534.94531
63: bad sentence 31, PPL: -15893.06836
64: good sentence 32, PPL: -2339.42822
65: bad sentence 32, PPL: -6775.34082
66: good sentence 33, PPL: -9071.95996
67: bad sentence 33, PPL: -11887.24902
68: good sentence 34, PPL: -3134.25586
69: bad sentence 34, PPL: -19198.28906
70: good sentence 35, PPL: -7359.26318
71: bad sentence 35, PPL: -13640.86523
72: good sentence 36, PPL: -2159.29077
73: bad sentence 36, PPL: -5322.96826
74: good sentence 37, PPL: -4389.23584
75: bad sentence 37, PPL: -5066.75879
76: good sentence 38, PPL: -7698.56836
77: bad sentence 38, PPL: -11097.98535
78: good sentence 39, PPL: -3710.92383
79: bad sentence 39, PPL: -20223.76562
80: good sentence 40, PPL: -10519.53418
81: bad sentence 40, PPL: -15158.82324
82: good sentence 41, PPL: -6455.52539
83: bad sentence 41, PPL: -10665.36035
84: good sentence 42, PPL: -10056.22461
85: bad sentence 42, PPL: -12487.25293
86: good sentence 43, PPL: -2434.80566
87: bad sentence 43, PPL: -7224.50391
88: good sentence 44, PPL: -8606.06641
89: bad sentence 44, PPL: -19317.90625
90: good sentence 45, PPL: -7995.04346
91: bad sentence 45, PPL: -22680.41016
92: good sentence 46, PPL: -2935.19604
93: bad sentence 46, PPL: -8598.96094
94: good sentence 47, PPL: -5563.71582
95: bad sentence 47, PPL: -15066.56738
96: good sentence 48, PPL: -9338.42969
97: bad sentence 48, PPL: -8242.58984
98: good sentence 49, PPL: -2535.64185
99: bad sentence 49, PPL: -6436.62842
100: good sentence 50, PPL: -1863.80249
101: bad sentence 50, PPL: -7468.82031
102: good sentence 51, PPL: -9300.67383
103: bad sentence 51, PPL: -5482.50195
104: good sentence 52, PPL: -15007.82910
105: bad sentence 52, PPL: -21481.14258
106: good sentence 53, PPL: -7988.55713
107: bad sentence 53, PPL: -8472.97266
108: good sentence 54, PPL: -10549.56348
109: bad sentence 54, PPL: -18151.14648
110: good sentence 55, PPL: -8165.21240
111: bad sentence 55, PPL: -11861.44141
112: good sentence 56, PPL: -4345.40381
113: bad sentence 56, PPL: -7906.42139
114: good sentence 57, PPL: -9989.53516
115: bad sentence 57, PPL: -12704.17578
116: good sentence 58, PPL: -9978.70898
117: bad sentence 58, PPL: -9973.09668
118: good sentence 59, PPL: -2836.41016
119: bad sentence 59, PPL: -6567.26758
120: good sentence 60, PPL: -2045.31519
121: bad sentence 60, PPL: -7236.28857
122: good sentence 61, PPL: -9475.55176
123: bad sentence 61, PPL: -8751.37695
124: good sentence 62, PPL: -8991.55566
125: bad sentence 62, PPL: -23515.86719
126: good sentence 63, PPL: -1992.71399
127: bad sentence 63, PPL: -5604.74414
128: good sentence 64, PPL: -4515.64893
129: bad sentence 64, PPL: -7952.71631
130: good sentence 65, PPL: -9689.16406
131: bad sentence 65, PPL: -10185.58984
132: good sentence 66, PPL: -6657.30273
133: bad sentence 66, PPL: -11868.46777
134: good sentence 67, PPL: -13578.83789
135: bad sentence 67, PPL: -23392.24219
136: good sentence 68, PPL: -9358.25684
137: bad sentence 68, PPL: -12731.01758
138: good sentence 69, PPL: -2312.16089
139: bad sentence 69, PPL: -9194.08008
140: good sentence 70, PPL: -2882.33032
141: bad sentence 70, PPL: -2807.05933
142: good sentence 71, PPL: -5780.48535
143: bad sentence 71, PPL: -11958.23438
144: good sentence 72, PPL: -12505.83203
145: bad sentence 72, PPL: -17546.11328
146: good sentence 73, PPL: -11149.94727
147: bad sentence 73, PPL: -15874.99609
148: good sentence 74, PPL: -6565.75830
149: bad sentence 74, PPL: -16331.31934
150: good sentence 75, PPL: -2624.66577
151: bad sentence 75, PPL: -7947.17480
152: good sentence 76, PPL: -10946.18164
153: bad sentence 76, PPL: -10432.51465
154: good sentence 77, PPL: -12258.53320
155: bad sentence 77, PPL: -15001.93359
156: good sentence 78, PPL: -5333.15088
157: bad sentence 78, PPL: -12199.64941
158: good sentence 79, PPL: -15154.93457
159: bad sentence 79, PPL: -12171.75879
160: good sentence 80, PPL: -10356.91797
161: bad sentence 80, PPL: -5563.76367
162: good sentence 81, PPL: -10937.25977
163: bad sentence 81, PPL: -10214.75391
164: good sentence 82, PPL: -5193.43262
165: bad sentence 82, PPL: -7007.42676
166: good sentence 83, PPL: -8822.00000
167: bad sentence 83, PPL: -37015.55469
168: good sentence 84, PPL: -2187.76904
169: bad sentence 84, PPL: -156758.31250
170: good sentence 85, PPL: -4942.41064
171: bad sentence 85, PPL: -21500.34766
172: good sentence 86, PPL: -6046.08203
173: bad sentence 86, PPL: -12603.54492
174: good sentence 87, PPL: -2582.84912
175: bad sentence 87, PPL: -5755.56689
176: good sentence 88, PPL: -5002.19238
177: bad sentence 88, PPL: -26240.52539
178: good sentence 89, PPL: -1566.01636
179: bad sentence 89, PPL: -4699.31299
180: good sentence 90, PPL: -11455.49512
181: bad sentence 90, PPL: -13887.82520
182: good sentence 91, PPL: -4948.42871
183: bad sentence 91, PPL: -8160.64990
184: good sentence 92, PPL: -7360.26758
185: bad sentence 92, PPL: -6580.01855
186: good sentence 93, PPL: -1726.62622
187: bad sentence 93, PPL: -4257.71631
188: good sentence 94, PPL: -2632.60986
189: bad sentence 94, PPL: -11296.41895
190: good sentence 95, PPL: -6796.44482
191: bad sentence 95, PPL: -23727.39648
192: good sentence 96, PPL: -4705.16553
193: bad sentence 96, PPL: -6648.80713
194: good sentence 97, PPL: -5264.36133
195: bad sentence 97, PPL: -6699.66992
196: good sentence 98, PPL: -1040.16638
197: bad sentence 98, PPL: -1253.81055
198: good sentence 99, PPL: -4325.99902
199: bad sentence 99, PPL: -11733.40820
200: good sentence 100, PPL: -8492.67090
201: bad sentence 100, PPL: -10967.83301
202: good sentence 101, PPL: -7159.14893
203: bad sentence 101, PPL: -10117.00000
204: good sentence 102, PPL: -8749.25684
205: bad sentence 102, PPL: -25960.50000
206: good sentence 103, PPL: -10818.42773
207: bad sentence 103, PPL: -18422.38086
208: good sentence 104, PPL: -9792.53711
209: bad sentence 104, PPL: -11288.67578
210: good sentence 105, PPL: -5636.27197
211: bad sentence 105, PPL: -6554.69727
212: good sentence 106, PPL: -9689.57910
213: bad sentence 106, PPL: -16024.56348
214: good sentence 107, PPL: -11436.37012
215: bad sentence 107, PPL: -15551.75684
216: good sentence 108, PPL: -1520.80042
217: bad sentence 108, PPL: -3490.97070
218: good sentence 109, PPL: -5795.97998
219: bad sentence 109, PPL: -9853.23145
220: good sentence 110, PPL: -2569.32373
221: bad sentence 110, PPL: -6453.46387
222: good sentence 111, PPL: -9773.84961
223: bad sentence 111, PPL: -13195.64648
224: good sentence 112, PPL: -9045.04199
225: bad sentence 112, PPL: -10424.71875
226: good sentence 113, PPL: -3186.96704
